endframe,human,mouse309,mouse308309,mouse308309329,mouse,mouse308,mouse278,mouse342,mouse329
100,-91.8523,-81.3177,-79.458,-78.9142,-84.2455,-84.3307,-93.1674,-90.5901,-74.3604
200,-96.9346,-88.5007,-87.5547,-84.3456,-89.3016,-87.7918,-94.5859,-93.6741,-84.5204
300,-92.8277,-86.6447,-86.2221,-82.0554,-87.6219,-84.9161,-91.5253,-89.982,-83.8184
400,-93.3131,-84.2674,-83.3434,-81.2467,-85.9827,-84.4407,-89.53,-87.5595,-83.3939
500,-93.3592,-84.101,-83.3342,-80.6155,-85.7474,-84.3601,-89.924,-87.3953,-83.0474
600,-92.0207,-79.1156,-81.8458,-76.5045,-83.6091,-79.3722,-89.1101,-87.8073,-81.1474
700,-90.6136,-77.0632,-81.4913,-73.5027,-82.4704,-78.9438,-88.0036,-86.454,-78.8752
800,-90.43,-75.1797,-80.9476,-72.627,-80.9717,-78.4259,-86.6788,-84.3781,-76.9433
900,-89.7777,-73.485,-79.4311,-73.0361,-79.5021,-77.7894,-86.3224,-81.7933,-76.0439
1000,-89.003,-71.6067,-78.0651,-72.6547,-78.3419,-77.2527,-86.1891,-79.9655,-75.2775
1100,-88.7245,-69.9891,-76.7684,-72.184,-77.781,-76.3681,-85.6323,-78.593,-75.0355
1200,-88.4104,-67.8765,-76.1131,-72.3674,-77.7055,-76.0363,-85.8134,-77.1845,-74.728
1300,-88.0844,-66.1309,-75.7839,-72.3454,-77.2981,-75.6596,-86.0332,-76.3327,-74.7044
1400,-87.7744,-64.6706,-75.1446,-71.9861,-77.0879,-75.3151,-85.9847,-75.5246,-74.5626
1500,-88.0354,-63.131,-74.2737,-71.744,-76.8508,-74.2657,-85.0524,-74.4285,-74.1995
1600,-87.9962,-61.8612,-73.7492,-71.1374,-76.123,-74.1859,-83.914,-73.8397,-73.9743
1700,-87.7527,-60.9005,-72.8145,-70.5078,-75.5451,-74.0246,-83.1125,-72.9757,-73.9332
1800,-87.2783,-59.8703,-72.3103,-69.8482,-75.0379,-73.9431,-82.1027,-72.4158,-73.9002
1900,-86.4347,-59.503,-71.8014,-69.4525,-74.2799,-73.9928,-81.013,-71.495,-74.1076
2000,-85.9503,-58.7787,-71.6283,-69.4629,-73.6243,-73.7077,-80.3105,-70.9427,-74.3798
